DeepJetc;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"0.71670669811"
2,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"0.948715988729"
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1-(0.0290199+-4.76786e-07*x+-1.50378e-10*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1-(0.0285525+-4.64083e-07*x+-1.52882e-10*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1-(0.00514319))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1+(0.0290199+-4.76786e-07*x+-1.50378e-10*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1+(0.0285525+-4.64083e-07*x+-1.52882e-10*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.05237+-0.000187384*x+1.51797e-07*x*x+-1.43245/x)*(1+(0.00514319))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1-(0.0840793+1.55274e-06*x+-1.02934e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1-(0.0830147+1.59723e-06*x+-1.04567e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1-(0.0133891))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1+(0.0840793+1.55274e-06*x+-1.02934e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1+(0.0830147+1.59723e-06*x+-1.04567e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.43509+-0.000516764*x+2.20312e-07*x*x+-5.01019/x)*(1+(0.0133891))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1-(0.186449+0.000191079*x+-2.32229e-07*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1-(0.163076+0.000214028*x+-2.5486e-07*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1-(0.0889009))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1+(0.186449+0.000191079*x+-2.32229e-07*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1+(0.163076+0.000214028*x+-2.5486e-07*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.22559+-0.000646337*x+5.13396e-07*x*x+5.0684/x)*(1+(0.0889009))" 
